date_mutation,valeur_fonciere,code_postal,section,type_local,surface_relle_bati,nombre_pieces_principales,surface_terrain
2016-05-18,108000.0,33000,DV,Appartement,35.0,2.0,
2016-08-01,64000.0,33000,DV,Appartement,38.0,2.0,
2017-04-26,144960.0,33000,PM,Appartement,45.0,2.0,
2017-05-12,297000.0,33000,LY,Maison,74.0,3.0,68.0
2017-09-01,651056.0,33000,KI,Maison,63.0,2.0,56.0
2017-11-08,194500.0,33000,KV,Appartement,76.0,3.0,
2017-11-20,255000.0,33000,KL,Appartement,66.0,3.0,
2017-03-17,110000.0,33000,ER,Appartement,30.0,1.0,
2017-04-18,129500.0,33000,EY,Appartement,30.0,1.0,
2017-06-16,90000.0,33000,EY,Appartement,22.0,1.0,
2017-06-20,325000.0,33000,IN,Maison,70.0,4.0,187.0
2017-09-01,275000.0,33000,IA,Maison,49.0,2.0,54.0
2017-10-27,345000.0,33000,IW,Appartement,38.0,3.0,384.0
2017-10-27,345000.0,33000,IW,Appartement,41.0,3.0,384.0
2018-04-16,794950.0,33000,OZ,Maison,184.0,5.0,184.0
2018-05-04,330000.0,33000,KJ,Appartement,67.0,4.0,
2018-10-01,521500.0,33000,KY,Appartement,98.0,4.0,
2018-10-02,192000.0,33000,PM,Appartement,45.0,2.0,
2019-04-30,138550.0,33000,KX,Appartement,20.0,1.0,
2019-04-02,350000.0,33000,IC,Maison,84.0,3.0,180.0
2019-05-02,160000.0,33000,DV,Appartement,35.0,2.0,
2019-04-18,380000.0,33000,HB,Maison,95.0,6.0,
2019-05-13,350000.0,33000,DV,Appartement,60.0,2.0,
2014-01-15,160000.0,33000,OP,Appartement,68.0,3.0,
2014-10-14,104000.0,33000,OS,Maison,58.0,2.0,273.0
2015-07-06,124000.0,33000,DR,Appartement,30.0,2.0,
2015-07-29,139000.0,33000,HB,Maison,40.0,2.0,
2015-11-05,460000.0,33000,EX,Maison,80.0,5.0,195.0
2015-11-16,170000.0,33000,HD,Appartement,54.0,3.0,
2015-12-15,254050.0,33000,HB,Maison,43.0,2.0,
2015-12-30,248000.0,33000,HD,Appartement,54.0,3.0,
2016-02-11,155000.0,33000,PL,Appartement,57.0,2.0,
2016-03-03,160000.0,33000,PL,Appartement,50.0,3.0,
2016-02-19,132000.0,33000,OP,Appartement,51.0,3.0,
2016-02-19,132000.0,33000,OP,Appartement,49.0,2.0,
2016-03-29,105000.0,33000,PL,Appartement,32.0,1.0,
2016-05-12,120000.0,33000,PL,Appartement,40.0,2.0,
2016-06-17,125500.0,33000,PM,Appartement,37.0,1.0,
2016-06-17,1680000.0,33000,PE,Appartement,97.0,3.0,
2016-06-17,1680000.0,33000,PE,Appartement,98.0,5.0,
2016-06-17,1680000.0,33000,PE,Appartement,96.0,4.0,
2016-06-17,200000.0,33000,PE,Appartement,74.0,3.0,
2016-06-29,175000.0,33000,OP,Appartement,68.0,3.0,
2016-01-22,650000.0,33000,DU,Appartement,85.0,6.0,250.0
2016-01-28,165000.0,33000,DO,Appartement,25.0,1.0,
2016-01-28,152850.0,33000,DO,Appartement,30.0,1.0,
2016-07-18,300000.0,33000,DO,Appartement,30.0,1.0,53.0
2016-07-18,300000.0,33000,DO,Appartement,28.0,2.0,53.0
2016-07-18,300000.0,33000,DO,Appartement,28.0,0.0,53.0
2016-07-18,300000.0,33000,DO,Appartement,20.0,1.0,53.0
2017-10-06,339200.0,33000,PL,Appartement,50.0,3.0,
2017-03-31,475000.0,33000,DU,Appartement,85.0,6.0,
2017-07-27,400000.0,33000,IC,Maison,159.0,6.0,169.0
2017-12-29,138000.0,33000,HP,Appartement,40.0,2.0,
2017-12-20,417300.0,33000,HT,Appartement,145.0,5.0,
2018-03-16,101000.0,33000,KL,Appartement,16.0,1.0,
2018-08-31,305000.0,33000,LO,Appartement,68.0,2.0,123.0
2018-08-31,305000.0,33000,LO,Appartement,27.0,1.0,123.0
2018-08-31,305000.0,33000,LO,Appartement,28.0,1.0,123.0
2018-11-30,500000.0,33000,LO,Appartement,27.0,1.0,123.0
2018-11-30,500000.0,33000,LO,Appartement,68.0,2.0,123.0
2018-11-30,500000.0,33000,LO,Appartement,28.0,1.0,123.0
2018-11-28,120000.0,33000,KL,Appartement,25.0,1.0,
2018-01-17,181000.0,33000,HD,Appartement,36.0,2.0,
2018-02-08,210000.0,33000,HP,Appartement,55.0,3.0,
2018-07-05,745000.0,33000,EV,Maison,137.0,5.0,131.0
2018-09-20,280000.0,33000,HP,Appartement,55.0,3.0,
2019-02-11,635000.0,33000,LP,Maison,135.0,4.0,295.0
2019-03-12,793000.0,33000,LW,Maison,149.0,4.0,101.0
2019-05-15,155000.0,33000,LO,Appartement,27.0,1.0,
2019-06-27,78000.0,33000,KL,Appartement,16.0,1.0,
2015-01-19,225000.0,33000,LV,Appartement,98.0,3.0,
2015-02-02,670000.0,33000,PS,Maison,173.0,6.0,442.0
2015-04-16,23121.0,33000,DW,Appartement,70.0,4.0,
2015-10-15,230500.0,33000,EI,Maison,65.0,4.0,104.0
2016-06-09,232000.0,33000,OS,Maison,70.0,3.0,
2016-01-25,350000.0,33000,HX,Maison,90.0,4.0,306.0
2016-10-10,567576.0,33000,IR,Maison,350.0,8.0,171.0
2016-11-21,390000.0,33000,HE,Appartement,110.0,3.0,
2016-09-20,650000.0,33000,ER,Appartement,25.0,1.0,174.0
2016-09-20,650000.0,33000,ER,Appartement,26.0,1.0,174.0
2016-09-20,650000.0,33000,ER,Appartement,28.0,1.0,174.0
2016-09-20,650000.0,33000,ER,Appartement,100.0,4.0,174.0
2016-09-20,650000.0,33000,ER,Appartement,100.0,4.0,174.0
2016-09-20,650000.0,33000,ER,Appartement,25.0,1.0,174.0
2016-09-20,650000.0,33000,ER,Appartement,100.0,3.0,174.0
2016-12-23,129000.0,33000,DO,Appartement,40.0,2.0,
2017-02-06,585000.0,33000,LX,Maison,210.0,8.0,108.0
2017-08-31,588500.0,33000,IW,Maison,102.0,4.0,175.0
2017-12-11,450000.0,33000,OY,Maison,100.0,5.0,184.0
2017-05-19,545000.0,33000,HE,Appartement,45.0,2.0,
2017-05-19,545000.0,33000,HE,Appartement,70.0,1.0,
2017-06-30,442000.0,33000,HE,Appartement,190.0,5.0,
2017-08-28,382000.0,33000,DW,Appartement,70.0,4.0,
2017-11-17,715000.0,33000,DP,Appartement,16.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,14.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,13.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,10.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,9.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,15.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,14.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,10.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,14.0,1.0,84.0
2017-11-17,715000.0,33000,DP,Appartement,15.0,1.0,84.0
2018-01-22,2100000.0,33000,LA,Appartement,65.0,2.0,607.0
2018-07-18,356774.0,33000,MD,Appartement,69.0,2.0,
2018-01-19,900000.0,33000,DP,Appartement,10.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,13.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,14.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,9.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,15.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,16.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,14.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,10.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,15.0,1.0,84.0
2018-01-19,900000.0,33000,DP,Appartement,14.0,1.0,84.0
2018-05-15,400000.0,33000,HB,Appartement,28.0,2.0,50.0
2018-05-15,400000.0,33000,HB,Appartement,28.0,2.0,50.0
2018-10-25,140000.0,33000,HO,Appartement,20.0,1.0,
2018-11-06,309500.0,33000,DP,Appartement,15.0,1.0,
2018-11-06,309500.0,33000,DP,Appartement,14.0,1.0,
2018-11-12,304500.0,33000,DP,Appartement,13.0,1.0,
2018-11-12,304500.0,33000,DP,Appartement,15.0,1.0,
2018-12-21,211350.0,33000,HA,Appartement,46.0,2.0,
2018-12-27,298500.0,33000,DP,Appartement,14.0,1.0,
2018-12-27,298500.0,33000,DP,Appartement,16.0,1.0,
2019-03-28,2830000.0,33000,LA,Appartement,65.0,2.0,607.0
2019-01-04,539500.0,33000,DP,Appartement,10.0,1.0,
2019-01-04,539500.0,33000,DP,Appartement,14.0,1.0,
2019-01-04,539500.0,33000,DP,Appartement,10.0,1.0,
2019-06-13,600000.0,33000,HE,Appartement,190.0,5.0,
2014-02-10,107000.0,33000,KL,Appartement,21.0,1.0,
2014-03-12,230791.0,33000,LO,Appartement,61.0,3.0,
2014-08-29,332000.0,33000,OS,Maison,133.0,5.0,287.0
2014-10-09,106050.0,33000,KL,Appartement,37.0,1.0,
2014-02-27,135000.0,33000,ID,Appartement,65.0,3.0,
2014-02-21,118000.0,33000,ID,Appartement,47.0,2.0,
2014-04-25,116250.0,33000,ID,Appartement,66.0,3.0,
2014-06-05,114000.0,33000,ID,Appartement,47.0,2.0,
2014-06-17,390000.0,33000,DS,Appartement,108.0,4.0,73.0
2014-07-11,155000.0,33000,ID,Appartement,65.0,14.0,
2014-08-01,104000.0,33000,HE,Appartement,25.0,1.0,
2014-08-20,88000.0,33000,HE,Appartement,29.0,1.0,
2014-09-15,112040.0,33000,HE,Appartement,30.0,1.0,
2015-05-05,5000.0,33000,OX,Appartement,58.0,3.0,
2015-05-05,3025.0,33000,OX,Appartement,70.0,3.0,
2015-06-23,178000.0,33000,OX,Appartement,58.0,3.0,
2015-09-10,370000.0,33000,KX,Appartement,42.0,2.0,
2015-09-10,370000.0,33000,KX,Appartement,50.0,2.0,
2015-08-25,560000.0,33000,LV,Maison,180.0,10.0,185.0
2015-09-23,68000.0,33000,KL,Appartement,29.0,1.0,
2015-10-15,62000.0,33000,KL,Appartement,21.0,1.0,
2015-10-06,1100000.0,33000,KN,Appartement,189.0,5.0,
2015-01-26,180000.0,33000,ID,Appartement,78.0,4.0,
2015-02-23,202500.0,33000,ID,Appartement,73.0,2.0,
2015-03-13,106000.0,33000,ID,Appartement,47.0,2.0,
2015-03-16,269000.0,33000,HK,Appartement,67.0,3.0,
2015-03-11,120000.0,33000,ID,Appartement,47.0,2.0,
2015-03-30,134000.0,33000,HK,Appartement,51.0,2.0,
2015-04-17,330000.0,33000,EV,Maison,87.0,4.0,122.0
2015-07-23,267000.0,33000,HK,Appartement,82.0,3.0,
2015-07-27,140000.0,33000,ID,Appartement,48.0,2.0,
2015-08-14,88900.0,33000,ID,Appartement,30.0,1.0,
2015-10-03,149000.0,33000,ID,Appartement,64.0,3.0,
2015-11-12,247500.0,33000,HK,Appartement,100.0,4.0,
2015-11-30,150000.0,33000,ID,Appartement,53.0,2.0,
2015-12-21,117000.0,33000,ID,Appartement,47.0,2.0,
2016-01-28,130000.0,33000,KO,Appartement,25.0,1.0,
2016-07-26,280000.0,33000,KY,Appartement,30.0,2.0,53.0
2016-07-26,280000.0,33000,KY,Appartement,58.0,2.0,53.0
2016-09-09,650000.0,33000,KT,Appartement,100.0,2.0,112.0
2016-09-21,132450.0,33000,KL,Appartement,21.0,1.0,
2016-10-21,224000.0,33000,KL,Appartement,61.0,3.0,
2016-10-20,600000.0,33000,KN,Appartement,159.0,6.0,
2016-10-20,276000.0,33000,OY,Maison,73.0,3.0,125.0
2016-12-23,130000.0,33000,PK,Appartement,32.0,1.0,
2016-02-03,187500.0,33000,HK,Appartement,67.0,3.0,
2016-06-23,170000.0,33000,ID,Appartement,65.0,3.0,
2016-06-29,150000.0,33000,ID,Appartement,52.0,2.0,
2016-07-08,166000.0,33000,HK,Appartement,67.0,3.0,
2016-07-07,155000.0,33000,ID,Appartement,64.0,3.0,
2016-07-22,174000.0,33000,ID,Appartement,65.0,3.0,
2016-06-30,126000.0,33000,ID,Appartement,47.0,2.0,
2016-07-04,161000.0,33000,ID,Appartement,64.0,3.0,
2016-07-22,132000.0,33000,ID,Appartement,47.0,2.0,
2016-08-29,175000.0,33000,ID,Appartement,73.0,2.0,
2016-09-05,88000.0,33000,ID,Appartement,31.0,2.0,
2016-09-06,165000.0,33000,ID,Appartement,66.0,3.0,
2016-09-27,154650.0,33000,HK,Appartement,32.0,2.0,
2016-09-28,120000.0,33000,ID,Appartement,47.0,2.0,
